n,size,misses
410,103294,150148
411,46717,150834
412,104254,151658
413,104807,152348
414,47403,153039
415,105774,153869
416,106331,154564
417,48094,155260
418,107305,156096
419,107866,156796
420,48790,157497
421,108847,158339
422,109412,159044
423,49491,159750
424,110400,160598
425,110969,161308
426,50197,162019
427,111964,162873
428,112537,163588
429,50908,164304
430,113539,165164
431,114116,165884
432,51624,166605
433,115125,167471
434,115706,168196
435,52345,168922
436,116722,169794
437,117307,170524
438,53071,171255
439,118330,172133
440,118919,172868
441,53802,173604
442,119949,174488
443,120542,175228
444,54538,175969
445,121579,176859
446,122176,177604
447,55279,178350
448,123220,179246
449,123821,179996
450,56025,180747
451,124872,181649
452,125477,182404
453,56776,183160
454,126535,184068
455,127144,184828
456,57532,185589
457,128209,186503
458,128822,187268
459,58293,188034
460,129894,188954
461,130511,189724
462,59059,190495
463,131590,191421
464,132211,192196
465,59830,192972
466,133297,193904
467,133922,194684
468,60606,195465
469,135015,196403
470,135644,197188
471,61387,197974
472,136744,198918
473,137377,199708
474,62173,200499
475,138484,201449
476,139121,202244
477,62964,203040
478,140235,203996
479,140876,204796
480,63760,205597
481,141997,206559
482,142642,207364
483,64561,208170
484,143770,209138
485,144419,209948
486,65367,210759
487,145554,211733
488,146207,212548
489,66178,213364
490,147349,214344
491,148006,215164
492,66994,215985
493,149155,216971
494,149816,217796
495,67815,218622
496,150972,219614
497,151637,220444
498,68641,221275
499,152800,222273
500,153469,223108
501,69472,223944
502,154639,224948
503,155312,225788
504,70308,226629
505,156489,227639
506,157166,228484
507,71149,229330
508,158350,230346
509,159031,231196
510,71995,232047
511,160222,233069
512,160907,233924
513,72846,234780
514,162105,235808
515,162794,236668
516,73702,237529
517,163999,238563
518,164692,239428
519,74563,240294
520,165904,241334
521,166601,242204
522,75429,243075
523,167820,244121
524,168521,244996
525,76300,245872
526,169747,246924
527,170452,247804
528,77176,248685
529,171685,249743
530,172394,250628
531,78057,251514
532,173634,252578
533,174347,253468
534,78943,254359
535,175594,255429
536,176311,256324
537,79834,257220
538,177565,258296
539,178286,259196
540,80730,260097
541,179547,261179
542,180272,262084
543,81631,262990
544,181540,264078
545,182269,264988
546,82537,265899
547,183544,266993
548,184277,267908
549,83448,268824
550,185559,269924
551,186296,270844
552,84364,271765
553,187585,272871
554,188326,273796
555,85285,274722
556,189622,275834
557,190367,276764
558,86211,277695
559,191670,278813
560,192419,279748
561,87142,280684
562,193729,281808
563,194482,282748
564,88078,283689
565,195799,284819
566,196556,285764
567,89019,286710
568,197880,287846
569,198641,288796
570,89965,289747
571,199972,290889
572,200737,291844
573,90916,292800
574,202075,293948
575,202844,294908
576,91872,295869
577,204189,297023
578,204962,297988
579,92833,298954
