n,size,misses
412,46576,151659
413,46989,152349
414,47403,153040
415,47261,153870
416,47677,154565
417,48094,155261
418,47951,156097
419,48370,156797
420,48790,157498
421,48646,158340
422,49068,159045
423,49491,159751
424,49346,160599
425,49771,161309
426,50197,162020
427,50051,162874
428,50479,163589
429,50908,164305
430,50761,165165
431,51192,165885
432,51624,166606
433,51476,167472
434,51910,168197
435,52345,168923
436,52196,169795
437,52633,170525
438,53071,171256
439,52921,172134
440,53361,172869
441,53802,173605
442,53651,174489
443,54094,175229
444,54538,175970
445,54386,176860
446,54832,177605
447,55279,178351
448,55126,179247
449,55575,179997
450,56025,180748
451,55871,181650
452,56323,182405
453,56776,183161
454,56621,184069
455,57076,184829
456,57532,185590
457,57376,186504
458,57834,187269
459,58293,188035
460,58136,188955
461,58597,189725
462,59059,190496
463,58901,191422
464,59365,192197
465,59830,192973
466,59671,193905
467,60138,194685
468,60606,195466
469,60446,196404
470,60916,197189
471,61387,197975
472,61226,198919
473,61699,199709
474,62173,200500
475,62011,201450
476,62487,202245
477,62964,203041
478,62801,203997
479,63280,204797
480,63760,205598
481,63596,206560
482,64078,207365
483,64561,208171
484,64396,209139
485,64881,209949
486,65367,210760
487,65201,211734
488,65689,212549
489,66178,213365
490,66011,214345
491,66502,215165
492,66994,215986
493,66826,216972
494,67320,217797
495,67815,218623
496,67646,219615
497,68143,220445
498,68641,221276
499,68471,222274
500,68971,223109
501,69472,223945
502,69301,224949
503,69804,225789
504,70308,226630
505,70136,227640
506,70642,228485
507,71149,229331
508,70976,230347
509,71485,231197
510,71995,232048
511,71821,233070
512,72333,233925
513,72846,234781
514,72671,235809
515,73186,236669
516,73702,237530
517,73526,238564
518,74044,239429
519,74563,240295
520,74386,241335
521,74907,242205
522,75429,243076
523,75251,244122
524,75775,244997
525,76300,245873
526,76121,246925
527,76648,247805
528,77176,248686
529,76996,249744
530,77526,250629
531,78057,251515
532,77876,252579
533,78409,253469
534,78943,254360
535,78761,255430
536,79297,256325
537,79834,257221
538,79651,258297
539,80190,259197
540,80730,260098
541,80546,261180
542,81088,262085
543,81631,262991
544,81446,264079
545,81991,264989
546,82537,265900
547,82351,266994
548,82899,267909
549,83448,268825
550,83261,269925
551,83812,270845
552,84364,271766
553,84176,272872
554,84730,273797
555,85285,274723
556,85096,275835
557,85653,276765
558,86211,277696
559,86021,278814
560,86581,279749
561,87142,280685
562,86951,281809
563,87514,282749
564,88078,283690
565,87886,284820
566,88452,285765
567,89019,286711
568,88826,287847
569,89395,288797
570,89965,289748
571,89771,290890
572,90343,291845
573,90916,292801
574,90721,293949
575,91296,294909
576,91872,295870
577,91676,297024
578,92254,297989
579,92833,298955
580,92636,300115
581,93217,301085
582,93799,302056
583,93601,303222
584,94185,304197
585,94770,305173
586,94571,306345
587,95158,307325
588,95746,308306
589,95546,309484
590,96136,310469
591,96727,311455
592,96526,312639
593,97119,313629
594,97713,314620
595,97511,315810
596,98107,316805
597,98704,317801
598,98501,318997
599,99100,319997
600,99700,320998
601,99496,322200
602,100098,323205
603,100701,324211
604,100496,325419
605,101101,326429
606,101707,327440
607,101501,328654
608,102109,329669
609,102718,330685
610,102511,331905
611,103122,332925
612,103734,333946
613,103526,335172
614,104140,336197
615,104755,337223
616,104546,338455
617,105163,339485
618,105781,340516
619,105571,341754
620,106191,342789
621,106812,343825
622,106601,345069
623,107224,346109
624,107848,347150
625,107636,348400
626,108262,349445
627,108889,350491
628,108676,351747
629,109305,352797
630,109935,353848
631,109721,355110
632,110353,356165
633,110986,357221
634,110771,358489
635,111406,359549
636,112042,360610
637,111826,361884
638,112464,362949
639,113103,364015
640,112886,365295
641,113527,366365
642,114169,367436
643,113951,368722
644,114595,369797
645,115240,370873
646,115021,372165
647,115668,373245
648,116316,374326
649,116096,375624
650,116746,376709
651,117397,377795
652,117176,379099
653,117829,380189
654,118483,381280
655,118261,382590
656,118917,383685
657,119574,384781
658,119351,386097
659,120010,387197
660,120670,388298
661,120446,389620
662,121108,390725
663,121771,391831
664,121546,393159
665,122211,394269
666,122877,395380
667,122651,396714
668,123319,397829
669,123988,398945
670,123761,400285
